//Amb_Props - ambient lights for animated props
//Amb_World - ambient light for the world
//Amb_Peds - ambient light for cars, peds and dynamic objects 
//Sun RGB - Sun RGBectional light used for cars and peds (RGB)
//Back - Back lighting opposite to Sun RGB light and also used for cars and peds (RGB)
//BackInt - Back lighting intensity modifier
//SKYTOP - colour of the sky gradient at top (RGB)
//Sky bot - colour of the sky gradient at bottom (RGB)
//Sun RGBcore - colour of the centre of the Sun RGB (RGB)
//Sun RGBcorona - colour of the glow around the Sun RGB (RGB)
//Sun RGBsz - size of the Sun RGB
//Sprsz - multiplier for the size of sprites
//Sprbrght - brightness of sprites
//Shdw - alpha of cast shadows (don’t think its used anymore)
//Lightshd - alpha for cast light (traffic lights or lampposts)
//Poleshd - alpha for the shadow of poles (lampposts)
//Farclip - fairly obvious sets far clip plane for the game
//Fogst - distance the fog starts from the camera (can be negative)
//Lightonground - don’t know!!
//lowcloudsRGB - colour of the long thin clouds (RGB)
//TopCloudRGB - colour of the top of the big clouds (RGB)
//BottomCloudRGB - colour of the bottom of the big clouds (RGB)
//BLURRGB - the colour of the overlay used when the game has motion blur on RGBA but in vc the drawmode for the overlay was additive and the alpha has no effect. High nubers mean very very blurry
//waterRGBA - used to colour dynamic water and set transparency.
//GlowThresh - Threshold for the Glow effect
//GlowStrength - Well, duh
//CloudSpeed - how fast the sky dome rotates
//CloudTopRGB- cpv for the sky dome top layer
//CloudBotRGB- cpv for the sky dome bottom layer
//ColFilterMode - full-screen color filter mode: 0-disable, 1-modulate, 2-add
//ColFilterRGBA - color to use
// AmbLRange - Ambient value lower range
// AmbHRange - Ambient value higher range
// SunLRange - Sun light lower range
// SunHRange - Sun light higher range
// BackLRange - Back light lower range
// BackHRange - Back light higher range

////////////////////////////////////// SPRING_SUNNY
// Amb_Props			Amb_World			Amb_Peds		Sun RGB		BackRGB		BackInt				Sky top			Sky bot			Sun RGBCore			Sun RGBCorona		Sun RGBSz	SprSz	SprBght		Shdw	LightShd	PoleShd		FarClp		FogSt	LightOnGround	LowCloudsRGB	TopCloudRGB		BottomCloudRGB		BlurRGB				WaterRGBA		GlowThresh		GlowStrength		CloudSpeed		CloudTopRGB		CloudBotRGB		ColFilterMode		ColFilterRGBA	AmbLRange	AmbHRange	SunLRange	SunHRange	BackLRange	BackHRange

// Midnight
95 101 107		148 155 180		95 101 107		46 46 44		70 74 71		0.25		30 32 40		44 47 63		0 0 0			0 0 0			3	0.50	100	200	100		0		250		-10	1.0				255 255 255			72 75 79		82 81 85				255 255 255			17 18 16 200		0		0		0		255 255 255		255 255 255		1		255 255 255 255	0.5	1.0	0.5	1.0	0.5	1.0

// 1AM
95 101 107		148 155 180		95 101 107		46 46 44		70 74 71		0.25		30 32 40		44 47 63		0 0 0			0 0 0			3	0.50	100	200	100		0		250		-10	1.0				255 255 255			81 84 87			82 81 85			255 255 255			17 18 16 200		0		0		0		255 255 255		255 255 255		1		255 255 255 255	0.5	1.0	0.5	1.0	0.5	1.0

// 2AM
95 101 107		148 155 180		95 101 107		46 46 44		70 74 71		0.25		30 32 40		44 47 63		0 0 0			0 0 0			3	0.50	100	200	100		0		250		-10	1.0				255 255 255			81 84 87			82 81 85			255 255 255			22 23 21 200		0		0		0		255 255 255		255 255 255		1		255 255 255 255	0.5	1.0	0.5	1.0	0.5	1.0

// 3AM
95 101 107		148 155 180		95 101 107		46 46 44		70 74 71		0.25		30 32 40		44 47 63		0 0 0			0 0 0			3	0.50	100	200	100		0		250		-10	1.0				255 255 255			81 84 87			82 81 85			255 255 255			27 29 26 200		0		0		0		255 255 255		255 255 255		1		255 255 255 255	0.5	1.0	0.5	1.0	0.5	1.0

// 4AM
95 101 107		148 155 180		95 101 107		46 46 44		139 135 116		0.25		34 36 47		44 47 63		0 0 0			0 0 0		2.0	0.50	100	200	100		0			250		-10	1.0				145 102 89			115 109 89			51 47 38				255 255 255			32 35 31 200		0		0		0		255 255 255		255 255 255		1		255 255 255 255	0.5	1.0	0.5	1.0	0.5	1.0

// 5AM
95 101 107		148 155 180		95 101 107		46 46 44		139 135 116		0.25		85 90 100		73 78 113		0 0 0			0 0 0		1	0	100	150	100		0			250		-10	1.0				145 102 89		115 109 89			51 47 38			255 255 255			37 40 37 200		0		0		0		255 255 255		255 255 255		1		255 255 255 255	0.5	1.0	0.5	1.0	0.5	1.0

// 6AM
